organism,snomed_code,display_name
Achromobacter denitrificans,413414001,Achromobacter denitrificans
Achromobacter xylosoxidans,413424009,Achromobacter xylosoxidans
Acinetobacter baumannii,91288006,Acinetobacter baumannii
Acinetobacter baumannii complex,,
Acinetobacter haemolyticus,77045006,Acinetobacter haemolyticus
Acinetobacter junii,13879009,Acinetobacter junii
Acinetobacter lwoffii,83088009,Acinetobacter lwoffii
Acinetobacter radioresistens,113381003,Acinetobacter radioresistens
Acinetobacter ursingii,424791004,Acinetobacter ursingii
Aerococcus viridans,78803006,Aerococcus viridans
Aeromonas hydrophila/punctata,,
Aeromonas salmonicida,30334005,Aeromonas salmonicida
Aeromonas sobria,43731003,Aeromonas sobria
Aeromonas veronii,9281006,Aeromonas veronii
Alcaligenes faecalis subsp. faecalis,,
Alloiococcus otitis,396454000,Alloiococcus otitis
Bordetella hinzii,113495004,Bordetella hinzii
Brevundimonas diminuta/Brevundimonas vesicularis,,
Brucella melitensis,72829003,Brucella melitensis
Burkholderia cepacia group,,
Burkholderia mallei,113674000,Burkholderia mallei
Buttiauxella agrestis,10969007,Buttiauxella agrestis
Cedecia lapagei,,
Chromobacterium violaceum,11042002,Chromobacterium violaceum
Chryseobacterium indologenes,113549008,Chryseobacterium indologenes
Citrobacter amalonaticus,55744003,Citrobacter amalonaticus
Citrobacter braakii,114262000,Citrobacter braakii
Citrobacter freundii,6265002,Citrobacter freundii
Citrobacter koseri,114264004,Citrobacter koseri
Citrobacter sedlakii,114265003,Citrobacter sedlakii
Citrobacter werkmanii,114442006,Citrobacter werkmanii
Coagulase-negative Staphylococcus,116197008,"Staphylococcus, coagulase negative"
Comamonas testosteroni,43721005,Comamonas testosteroni
Cronobacter sakazakii group,,
Delftia acidovorans,20432002,Delftia acidovorans
Dermacoccus nishinomiyaensis/Kytococcus sedentarius,,
Elizabethkingia meningoseptica,425774009,Elizabethkingia meningoseptica
Enterobacter aerogenes,62592009,Klebsiella aerogenes
Enterobacter cancerogenus,114451003,Enterobacter cancerogenus
Enterobacter cloacae complex,414102007,Enterobacter cloacae complex
Enterobacter cloacae subsp. cloacae,721950003,Enterobacter cloacae subsp. cloacae
Enterobacter cloacae subsp. dissolvens,56813009,Enterobacter cloacae subspecies dissolvens
Enterococcus casseliflavus,30949009,Enterococcus casseliflavus
Enterococcus durans,46464008,Enterococcus durans
Enterococcus faecalis,1187454003,Enterococcus faecalis
Enterococcus faecium,90272000,Enterococcus faecium
Enterococcus gallinarum,53233007,Enterococcus gallinarum
Enterococcus spp.,,
Escherichia coli,112283007,Escherichia coli
Ewingella americana,19027003,Ewingella americana
Gemella morbillorum,113765006,Gemella morbillorum
Hafnia alvei,76694001,Hafnia alvei
Klebsiella oxytoca,40886007,Klebsiella oxytoca
Klebsiella pneumoniae,56415008,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. ozaenae,65186004,Klebsiella pneumoniae subsp. ozaenae
Klebsiella pneumoniae subsp. pneumoniae,,
Klebsiella spp.,,
Kluyvera ascorbata,58493008,Kluyvera ascorbata
