whonet_code,name,group,atc_code,atc_group,loinc_count,loinc_codes
AMA,4-aminosalicylic acid,Antimycobacterials,J04AA01,Drugs for treatment of tuberculosis,0,
ACM,Acetylmidecamycin,Macrolides,,,0,
ASP,Acetylspiramycin,Macrolides,,,0,
ALS,Aldesulfone sodium,Other,J04BA03,Drugs for treatment of lepra,0,
AMK,Amikacin,Aminoglycosides,"D06AX12,J01GB06,QD06AX12,QJ01GB06,QS01AA21,S01AA21",Aminoglycoside antibacterials,35,101493-5|11-7|12-5|13-3|13546-7|14-1|15098-7|17798-0|18860-7|20373-7
AKF,Amikacin/fosfomycin,"Aminoglycosides,Phosphonics",,,0,
AMO,Amorolfine,Antifungals,"D01AE16,QD01AE16",Antifungals for topical use,0,
AMX,Amoxicillin,"Aminopenicillins,Penicillins,Beta-lactams","J01CA04,QG51AA03,QJ01CA04","Beta-lactam antibacterials, penicillins",21,101498-4|15-8|16-6|16365-9|17-4|18-2|18861-5|18862-3|19-0|20-8
AMC,Amoxicillin/clavulanic acid,"Aminopenicillins,Penicillins,Beta-lactams,Beta-lactamase inhibitors","J01CR02,QJ01CR02","Beta-lactam antibacterials, penicillins",5,18862-3|20-8|21-6|6977-3|101498-4
AXS,Amoxicillin/sulbactam,"Penicillins,Beta-lactams,Beta-lactamase inhibitors","J01CR02,QJ01CR02",,3,55614-2|55615-9|55616-7
AMB,Amphotericin B,Antifungals,"A01AB04,A07AA07,G01AA03,J02AA01,QA01AB04,QA07AA07,QG01AA03,QJ02AA01",Antimycotics for systemic use,12,16370-9|18863-1|23-2|24-0|25-7|26-5|3353-0|3354-8|40707-2|40757-7
AMH,Amphotericin B-high,Antifungals,,,0,
AMP,Ampicillin,"Aminopenicillins,Penicillins,Beta-lactams","J01CA01,QJ01CA01,QJ51CA01,QS01AA19,S01AA19","Beta-lactam antibacterials, penicillins",23,101477-8|101478-6|18864-9|18865-6|20374-5|21066-6|23618-2|27-3|28-1|29-9
SAM,Ampicillin/sulbactam,"Penicillins,Beta-lactams,Beta-lactamase inhibitors","J01CR01,QJ01CR01","Beta-lactam antibacterials, penicillins",9,101478-6|18865-6|20374-5|23618-2|31-5|32-3|33-1|34-9|6980-7
AMR,Amprolium,Other,QP51BX02,,0,
ANI,Anidulafungin,Antifungals,"J02AX06,QJ02AX06",Antimycotics for systemic use,4,55343-8|57095-2|58420-1|77162-6
APL,Apalcillin,"Penicillins,Beta-lactams",,,0,
APR,Apramycin,Aminoglycosides,"QA07AA92,QJ01GB90,QJ51GB90",,3,23659-6|73652-0|73653-8
ARB,Arbekacin,Aminoglycosides,"J01GB12,QJ01GB12",,3,32373-3|53818-1|54173-0
APX,Aspoxicillin,"Penicillins,Beta-lactams","J01CA19,QJ01CA19",,0,
AST,Astromicin,Aminoglycosides,,,0,
AVB,Avibactam,Beta-lactamase inhibitors,,,0,
AVI,Avilamycin,Other,QA07AA95,,4,35754-1|35755-8|35756-6|55619-1
AVO,Avoparcin,"Glycopeptides,Peptides",,,0,
AZD,Azidocillin,"Penicillins,Beta-lactams","J01CE04,QJ01CE04","Beta-lactam antibacterials, penicillins",0,
AZM,Azithromycin,Macrolides,"J01FA10,QJ01FA10,QS01AA26,S01AA26","Macrolides, lincosamides and streptogramins",12,100043-9|16420-2|16421-0|18866-4|23612-5|25233-8|35-6|36-4|37-2|38-0
AFC,Azithromycin/fluconazole/secnidazole,Other,"J01RA07,QJ01RA07",Combinations of antibacterials,0,
AZL,Azlocillin,"Ureidopenicillins,Penicillins,Beta-lactams","J01CA09,QJ01CA09","Beta-lactam antibacterials, penicillins",8,16422-8|18867-2|3368-8|39-8|40-6|41-4|41661-0|42-2
ATM,Aztreonam,"Monobactams,Beta-lactams","J01DF01,QJ01DF01",Other beta-lactam antibacterials,14,101497-6|16423-6|18868-0|25234-6|3369-6|41662-8|41663-6|41664-4|41727-9|43-0
AZA,Aztreonam/avibactam,"Monobactams,Beta-lactams,Beta-lactamase inhibitors","J01DF51,QJ01DF51",,0,
ANC,Aztreonam/nacubactam,"Monobactams,Beta-lactams,Beta-lactamase inhibitors","J01DF51,QJ01DF51",,0,
BAM,Bacampicillin,"Penicillins,Beta-lactams","J01CA06,QJ01CA06","Beta-lactam antibacterials, penicillins",6,18869-8|47-1|48-9|49-7|50-5|55620-9
BAC,Bacitracin,Peptides,"D06AX05,J01XX10,QA07AA93,QD06AX05,QJ01XX10,QR02AB04,QS01AA32,R02AB04,S01AA32",,6,10868-8|16428-5|18870-6|6827-0|6983-1|87603-7
BDQ,Bedaquiline,Other,"J04AK05,QJ04AK05",,5,80637-2|88703-4|88704-2|94274-8|96107-8
BEK,Bekanamycin,Aminoglycosides,"J01GB13,QJ01GB13",,0,
BNB,Benzathine benzylpenicillin,"Penicillins,Beta-lactams","J01CE08,QJ01CE08","Beta-lactam antibacterials, penicillins",0,
BNP,Benzathine phenoxymethylpenicillin,"Penicillins,Beta-lactams","J01CE10,QJ01CE10","Beta-lactam antibacterials, penicillins",0,
PEN,Benzylpenicillin,"Penicillins,Beta-lactams","J01CE01,QJ01CE01,QJ51CE01,QS01AA14,S01AA14",Combinations of antibacterials,5,18965-4|392-1|393-9|7041-7|394-7
PEN-S,Benzylpenicillin screening test,"Penicillins,Beta-lactams",,,0,
