whonet_code,name,snomed_substance_id,snomed_substance_name,source_loinc
AMB,Amphotericin B,77703004,,18863-1
AMK,Amikacin,387266001,,101493-5
AMP,Ampicillin,387170002,,101477-8
AMX,Amoxicillin,372687004,,15-8
ANI,Anidulafungin,422157006,,55343-8
ARB,Arbekacin,725569009,,32373-3
ATM,Aztreonam,387386004,,101497-6
AZL,Azlocillin,387308000,,18867-2
AZM,Azithromycin,387531004,,18866-4
BAC,Bacitracin,5220000,,10868-8
BAM,Bacampicillin,372865005,,18869-8
BDQ,Bedaquiline,714086004,,88703-4
BES,Besifloxacin,442870007,,73606-6
BIA,Biapenem,725572002,,41665-1
BPR,Ceftobiprole,734512008,,43269-0
CAP,Capreomycin,387081001,,18872-2
CAS,Caspofungin,413770001,,32378-2
CAT,Cefetamet,443045001,,32377-4
CAZ,Ceftazidime,387200005,,101481-0
CDR,Cefdinir,108677001,,23636-4
CEC,Cefaclor,387270009,,18874-8
CED,Cephradine,387091007,,168-5
CEP,Cefalotin,373485007,,18900-1
CEQ,Cefquinome,427098008,,100046-2
CFM,Cefixime,387536009,,18880-5
CFP,Cefoperazone,372743004,,100-8
CFR,Cefadroxil,372651006,,18875-5
CFS,Cefsulodin,387537000,,127-1
CHL,Chloramphenicol,372777009,,172-7
CID,Cefonicid,58343005,,18883-9
CIN,Cinoxacin,387549004,,180-0
CIP,Ciprofloxacin,372840008,,101500-7
CLF,Clofazimine,387410004,,16623-1
CLI,Clindamycin,372786004,,18908-4
CLO,Cloxacillin,373276005,,18910-0
CLR,Clarithromycin,387487009,,188-3
CLX,Clinafloxacin,96083005,,32376-6
CMZ,Cefmetazole,96059002,,11575-8
CND,Ceforanide,1668008,,103-2
CNX,Cefminox,698875003,,54908-9
COL,Colistin,387412007,,18912-6
CPD,Cefpodoxime,387534007,,119-8
CPO,Cefpirome,387533001,,18889-6
CPR,Cefprozil,387538005,,123-0
CPT,Ceftaroline,702414006,,73605-8
CRB,Carbenicillin,372713001,,18873-0
CRO,Ceftriaxone,372670001,,101485-1
CTB,Ceftibuten,387535008,,35777-2
CTE,Chlortetracycline,373509001,,176-8
CTF,Cefotiam,421700007,,32374-1
CTR,Clotrimazole,387325003,,10653-4
CTT,Cefotetan,13585009,,111-5
CTX,Cefotaxime,372704003,,101479-4
CTZ,Cefatrizine,96056009,,18877-1
CXM,Cefuroxime,372833007,,101503-1
CYC,Cycloserine,387282000,,18914-2
CZO,Cefazolin,387470007,,18878-9
CZX,Ceftizoxime,372770006,,136-2
DAL,Dalbavancin,703917001,,41688-3
DAP,Daptomycin,406439009,,35787-1
DEM,Demeclocycline,372779007,,18915-9
DFX,Delafloxacin,735011001,,88885-9
DIC,Dicloxacillin,372873001,,18916-7
DIR,Dirithromycin,96035007,,35793-9
DIT,Cefditoren,708598002,,35759-0
DIZ,Cefodizime,387539002,,18882-1
DLM,Delamanid,714097004,,93851-4
DOR,Doripenem,428352004,,56031-8
DOX,Doxycycline,372478003,,18917-5
DPS,Dapsone,387096002,,51698-9
ECO,Econazole,373471002,,25595-0
ENR,Enrofloxacin,96080008,,23712-3
ENX,Enoxacin,387550004,,18918-3
ERV,Eravacycline,774112005,,100049-6
ERY,Erythromycin,372694001,,18919-1
ETH,Ethambutol,387129004,,18921-7
ETI1,Ethionamide,32800009,,16099-4
ETP,Ertapenem,396346003,,101486-9
FAR,Faropenem,1162766006,,73600-9
FDC,Cefiderocol,830161006,,95767-0
FDX,Fidaxomicin,703664004,,73599-3
FEP,Cefepime,96048006,,101502-3
FIN,Finafloxacin,708794002,,73598-5
FLE,Fleroxacin,96085003,,25411-0
FLM,Flumequine,765389005,,55675-3
FLR,Florfenicol,427436003,,23740-4
FLU,Fluconazole,387174006,,18924-1
FOS,Fosfomycin,372534005,,25596-8
FOX,Cefoxitin,372780005,,101492-7
FRM,Framycetin,373765007,,18926-6
FRZ,Furazolidone,91314000,,69574-2
FUS,Fusidic acid,387530003,,262-6
GAT,Gatifloxacin,116349004,,31036-7
GEM,Gemifloxacin,407086007,,35814-3
GEN,Gentamicin,387321007,,101494-3
GRI,Griseofulvin,372807004,,54200-1
GRX,Grepafloxacin,386892006,,21316-5
HET,Hetacillin,37691005,,18931-6
ICL,Iclaprim,725576004,,73597-7
INH,Isoniazid,387472004,,18934-0
IPM,Imipenem,46558003,,101487-7
ISE,Isepamicin,725577008,,32381-6
ISO,Isoconazole,418371001,,55681-1
ISV,Isavuconazole,765386003,,85381-2
ITR,Itraconazole,387532006,,25452-4
JOS,Josamycin,713477009,,25597-6
KAN,Kanamycin,387396008,,18935-7
KET,Ketoconazole,387216007,,18937-3
LEX,Cefalexin,387304003,,18897-9
LIN,Lincomycin,372677003,,18938-1
LMU,Lefamulin,789396009,,85425-7
LNZ,Linezolid,387056004,,29254-0
LOM,Lomefloxacin,387553002,,18939-9
LOR,Loracarbef,96061006,,18940-7
LVX,Levofloxacin,387552007,,101501-5
LYM,Lymecycline,387548007,,18941-5
MAN,Cefamandole,372801003,,18876-3
MAR,Marbofloxacin,725614002,,73596-9
MCM,Miocamycin,96036008,,18949-8
MCZ,Miconazole,372738006,,25607-3
MEC,Mecillinam,372898000,,18951-4
MEM,Meropenem,387540000,,101488-5
MET,Meticillin,373515001,,323-6
MEZ,Mezlocillin,387446008,,18947-2
MFX,Moxifloxacin,412439003,,31037-5
MIF,Micafungin,416127003,,53812-4
MNO,Minocycline,372653009,,18948-0
MTR,Metronidazole,372602008,,18946-4
MUP,Mupirocin,387397004,,20389-3
NAF,Nafcillin,372898000,,18951-4
NAL,Nalidixic acid,387261006,,18952-2
NEO,Neomycin,373528008,,18953-0
NET,Netilmicin,387110005,,18954-8
NIT,Nitrofurantoin,373543005,,18955-5
NOR,Norfloxacin,387271008,,18956-3
NOV,Novobiocin,90220005,,18957-1
NTR,Nitroxoline,703481003,,25608-1
NTZ,Nitazoxanide,407148001,,73595-1
NYS,Nystatin,387048002,,10697-1
OFX,Ofloxacin,387551000,,18959-7
OLE,Oleandomycin,41332001,,18960-5
OMC,Omadacycline,781644002,,73594-4
OPT,Optochin,725716006,,100055-3
ORB,Orbifloxacin,725717002,,35825-9
ORI,Oritavancin,704655001,,41707-1
ORN,Ornidazole,442924004,,55691-0
OXA,Oxacillin,372868007,,18961-3
OXY,Oxytetracycline,372675006,,18962-1
PAN,Panipenem,725725000,,100056-1
PAR,Paromomycin,38044001,,51719-3
PEF,Pefloxacin,96089009,,18963-9
PEN,Benzylpenicillin,323389000,,18965-4
PHN,Phenoxymethylpenicillin,372725003,,18966-2
PIP,Piperacillin,372836004,,101490-1
PLB,Polymyxin B,372824005,,18972-0
PLZ,Plazomicin,725719004,,73592-8
PMD,Pretomanid,789316005,,93850-6
PME,Pivmecillinam,372898000,,18951-4
POS,Posaconazole,421747003,,54186-2
PRL,Pirlimycin,96101006,,35829-1
PRU,Prulifloxacin,703590007,,100058-7
PRX,Premafloxacin,725722002,,73591-0
PVM,Pivampicillin,387545005,,18971-2
PZA,Pyrazinamide,387076005,,18973-8
RAM,Ramoplanin,725610006,,41710-5
RFP,Rifapentine,108686006,,100059-5
RFX,Rifaximin,412553001,,73589-4
RIB,Rifabutin,386893001,,16100-0
RIF,Rifampicin,387159009,,18974-6
RLT,Rolitetracycline,96076003,,18976-1
ROS,Rosoxacin,387556005,,18977-9
RXT,Roxithromycin,96037004,,18978-7
RZM,Razupenem,725611005,,73590-2
SAL,Salinomycin,373561001,,35836-6
SAR,Sarafloxacin,96082000,,73588-6
SDI,Sulfadiazine,74523009,,18984-5
SIS,Sisomicin,96031003,,18979-5
SLP,Sulopenem,725623004,,55289-3
SMX,Sulfamethoxazole,363528007,,11577-4
SOL,Solithromycin,725619007,,73587-8
SOX,Sulfisoxazole,372858002,,11578-2
SPI,Spiramycin,387163002,,18981-1
SPT,Spectinomycin,372882007,,18980-3
SPX,Sparfloxacin,387554008,,20397-6
SSS,Sulfonamide,387406002,,18987-8
STR1,Streptomycin,387223008,,18982-9
SUL,Sulbactam,96008003,,41716-2
TAL,Talampicillin,387546006,,18988-6
TAZ,Tazobactam,96007008,,41719-6
TCY,Tetracycline,372809001,,101504-9
TEC,Teicoplanin,387529008,,18989-4
TEM,Temocillin,387543003,,18991-0
TGC,Tigecycline,418313005,,101499-2
THA,Thiacetazone,725643005,,32384-0
THI,Thiamphenicol,363552000,,41723-8
TIC,Ticarcillin,372577006,,18994-4
TIL,Tilmicosin,792797003,,35849-9
TIN,Tinidazole,395907001,,54928-7
TIZ,Tizoxanide,725562000,,73585-2
TLT,Telithromycin,410908003,,35843-2
TLV,Telavancin,443553004,,72894-9
TMP,Trimethoprim,387179001,,18997-7
TMX,Temafloxacin,387555009,,18990-2
TOB,Tobramycin,373548001,,101496-8
TRB,Terbinafine,373450007,,10720-1
TRC,Terconazole,387140007,,55196-0
TRL,Troleandomycin,64130008,,18999-3
TVA,Trovafloxacin,96092008,,23642-2
TYL,Tylosin,373553006,,35856-4
TZD,Tedizolid,703912007,,73586-0
VAN,Vancomycin,372735009,,19000-9
VIO,Viomycin,19967004,,19001-7
VOR,Voriconazole,385469007,,32379-0
