whonet_code,organism_name,snomed_code,kingdom,genus,species
ANISIM,Anisakis simplex,783169007,Animalia,Anisakis,simplex
EIL,Echinostoma ilocanum,788309004,Animalia,Echinostoma,ilocanum
SARSCA,Sarcoptes scabiei,788310009,Animalia,Sarcoptes,scabiei
SSS,Sarcoptes scabiei,788310009,Animalia,Sarcoptes,scabiei
DCA,Taenia saginata,783123007,Animalia,Taenia,saginata
HDI,Taenia saginata,783123007,Animalia,Taenia,saginata
TAESAG,Taenia saginata,783123007,Animalia,Taenia,saginata
TSA,Taenia saginata,783123007,Animalia,Taenia,saginata
TAESOL,Taenia solium,782953009,Animalia,Taenia,solium
TSO,Taenia solium,782953009,Animalia,Taenia,solium
HAL.SP,Halococcus,396943002,Archaea,Halococcus,
HALSPP,Halococcus,396943002,Archaea,Halococcus,
HALSAC,Halococcus saccharolyticus,432013000,Archaea,Halococcus,saccharolyticus
H.SAL,Halococcus salifodinae,432012005,Archaea,Halococcus,salifodinae
HALTUR,Haloterrigena turkmenica,433510001,Archaea,Haloterrigena,turkmenica
MTB.SP,Methanolobus,433208002,Archaea,Methanolobus,
M.BOM,Methanolobus bombayensis,433906005,Archaea,Methanolobus,bombayensis
MET,Methanobacterium,432535001,Archaea,Methanobacterium,
TMC.SP,Thermococcus,440056000,Archaea,Thermococcus,
T.PRO,Thermococcus profundus,440871002,Archaea,Thermococcus,profundus
ABI,Abiotrophia,115161005,Bacteria,Abiotrophia,
ABI.SP,Abiotrophia,115161005,Bacteria,Abiotrophia,
ABIPAR,Abiotrophia,115161005,Bacteria,Abiotrophia,
ABISPP,Abiotrophia,115161005,Bacteria,Abiotrophia,
A.DEF,Abiotrophia defectiva,113714003,Bacteria,Abiotrophia,defectiva
ABIDEF,Abiotrophia defectiva,113714003,Bacteria,Abiotrophia,defectiva
SDF,Abiotrophia defectiva,113714003,Bacteria,Abiotrophia,defectiva
STCDEF,Abiotrophia defectiva,113714003,Bacteria,Abiotrophia,defectiva
9802,Acidaminococcus,28207003,Bacteria,Acidaminococcus,
ACCSPP,Acidaminococcus,28207003,Bacteria,Acidaminococcus,
ACD,Acidaminococcus,28207003,Bacteria,Acidaminococcus,
ACDINT,Acidaminococcus,28207003,Bacteria,Acidaminococcus,
ACDSPP,Acidaminococcus,28207003,Bacteria,Acidaminococcus,
ACCFER,Acidaminococcus fermentans,63005002,Bacteria,Acidaminococcus,fermentans
AFE,Acidaminococcus fermentans,63005002,Bacteria,Acidaminococcus,fermentans
ACD.SP,Acidiphilium,422628008,Bacteria,Acidiphilium,
A.MUL,Acidiphilium multivorum,423681005,Bacteria,Acidiphilium,multivorum
ACDACI,Acidipropionibacterium acidipropionici,2379005,Bacteria,Acidipropionibacterium,acidipropionici
9803,Acidovorax,115153000,Bacteria,Acidovorax,
ACVSPP,Acidovorax,115153000,Bacteria,Acidovorax,
ACX,Acidovorax,115153000,Bacteria,Acidovorax,
ACXSPP,Acidovorax,115153000,Bacteria,Acidovorax,
AVX.SP,Acidovorax,115153000,Bacteria,Acidovorax,
